node_1|node_2|edge|chunk_id
eastern spot-billed duck|lack of a distinct dark 'moustache'|When comparing with the Eastern Spot-billed Duck, note the lack of a distinct dark 'moustache' in the Indian Spot-billed Duck.|90471659c7504a4593185da2483ea832
eastern spot-billed duck|overall warmer tan coloration|When comparing with the Eastern Spot-billed Duck, note the overall warmer tan coloration of the Indian Spot-billed Duck.|90471659c7504a4593185da2483ea832
green-winged teal|species|The Green-winged Teal is a species of duck.|456e0e561202489f9c7f70dcee258a4c
tiny duck|green-winged teal|The Green-winged Teal is described as a tiny duck in the context.|456e0e561202489f9c7f70dcee258a4c
petite, thin bill|green-winged teal|The Green-winged Teal has a petite, thin bill.|456e0e561202489f9c7f70dcee258a4c
brown head|male green-winged teal|Males of the Green-winged Teal have a brown head.|456e0e561202489f9c7f70dcee258a4c
green swatch|male green-winged teal|The males of the Green-winged Teal have a wide green swatch behind the eye.|456e0e561202489f9c7f70dcee258a4c
creamy speckled breast|male green-winged teal|The males of the Green-winged Teal have a creamy speckled breast.|456e0e561202489f9c7f70dcee258a4c
gray body|male green-winged teal|The males of the Green-winged Teal have mostly gray bodies.|456e0e561202489f9c7f70dcee258a4c
brown|female green-winged teal|Females of the Green-winged Teal are brown.|456e0e561202489f9c7f70dcee258a4c
darker overall|female green-winged teal|Females of the Green-winged Teal are darker overall than other dabbling ducks.|456e0e561202489f9c7f70dcee258a4c
dabbling ducks|other dabbling ducks|The females of the Green-winged Teal are compared to 'other dabbling ducks' in terms of darkness.|456e0e561202489f9c7f70dcee258a4c
submerged aquatic vegetation|forages by dabbling|The Green-winged Teal forages by dabbling and reaches submerged aquatic vegetation.|456e0e561202489f9c7f70dcee258a4c
mudflats|also regularly walks around|In addition to dabbling, the Green-winged Teal also regularly walks around mudflats to feed.|456e0e561202489f9c7f70dcee258a4c
little grebe|species|The Little Grebe is a species of bird.|a2a7310c31f8408e8dbb2496fb504405
wetlands|habitat|The Little Grebe lives in wetlands with bordering reeds and other vegetation.|a2a7310c31f8408e8dbb2496fb504405
open water|habitat|The Little Grebe is sometimes seen on open water, mainly during winter.|a2a7310c31f8408e8dbb2496fb504405
rounded head|physical characteristics|The Little Grebe has a rounded head.|a2a7310c31f8408e8dbb2496fb504405
puffy rear end|physical characteristics|The Little Grebe has a puffy rear end.|a2a7310c31f8408e8dbb2496fb504405
singles and small loose flocks|group behavior|The Little Grebe is usually seen as singles or small groups.|a2a7310c31f8408e8dbb2496fb504405
daytime sleeping|behavior|The Little Grebe often sleeps during the day.|a2a7310c31f8408e8dbb2496fb504405
dark rusty head and neck sides with yellow patch at base of bill|breeding plumage|During breeding, the Little Grebe can appear dark overall with a dark rusty head and neck sides and a yellow patch at the base of the bill.|a2a7310c31f8408e8dbb2496fb504405
dingy pale brownish overall with dark cap|non-breeding plumage|In non-breeding plumage, the Little Grebe is dingy pale brownish overall with a dark cap.|a2a7310c31f8408e8dbb2496fb504405
greater coucal|large bird|The Greater Coucal is a large bird.|43faee12e1f24f278b7fb3af8de52218
greater coucal|crow|The Greater Coucal resembles a crow in appearance.|43faee12e1f24f278b7fb3af8de52218
greater coucal|pheasant|The Greater Coucal resembles a pheasant in appearance.|43faee12e1f24f278b7fb3af8de52218
greater coucal|black color|The Greater Coucal is largely black.|43faee12e1f24f278b7fb3af8de52218
greater coucal|rusty wings|The Greater Coucal has distinctive rusty wings.|43faee12e1f24f278b7fb3af8de52218
greater coucal|glossy underparts|The underparts of the Greater Coucal are glossy.|43faee12e1f24f278b7fb3af8de52218
greater coucal|long and heavy black tail|The Greater Coucal has a long and heavy black tail.|43faee12e1f24f278b7fb3af8de52218
greater coucal|deep red eyes|The Greater Coucal has deep red eyes.|43faee12e1f24f278b7fb3af8de52218
juvenile greater coucal|white bars on the tail|Juvenile Greater Coucals have white bars on their tails.|43faee12e1f24f278b7fb3af8de52218
juvenile greater coucal|underparts|Juvenile Greater Coucals have duller underparts.|43faee12e1f24f278b7fb3af8de52218
juvenile greater coucal|black streaks on the wings and upperparts|Juvenile Greater Coucals have variable amounts of black streaks on their wings and upperparts.|43faee12e1f24f278b7fb3af8de52218
adult greater coucal|lacks the white streaks on the wings seen on lesser coucal|Adult Greater Coucals lack the white streaks on the wings that are present in Lesser Coucals.|43faee12e1f24f278b7fb3af8de52218
greater coucal|lesser coucal|The Greater Coucal is similar to the Lesser Coucal, but it is larger with a longer bill and red eyes.|43faee12e1f24f278b7fb3af8de52218
adult greater coucal|resonant ‘oop-oop-oop’ notes|The call of an adult Greater Coucal is a series of deep, resonant 'oop-oop-oop' notes.|43faee12e1f24f278b7fb3af8de52218
white-breasted waterhen|medium-sized|The White-breasted Waterhen is a medium-sized bird.|4e05e632ec574e8d9eae94dcc4881438
white-breasted waterhen|chickenlike marsh bird|The White-breasted Waterhen is often referred to as a chickenlike marsh bird due to its appearance and habitat.|4e05e632ec574e8d9eae94dcc4881438
white-breasted waterhen|found in meadows, ditches, riversides, marshes, parks, farmlands|The White-breasted Waterhen can be found in various environments including meadows, ditches, riversides, marshes, parks, and farmlands.|4e05e632ec574e8d9eae94dcc4881438
white-breasted waterhen|close proximity to humans|The White-breasted Waterhen is often found in close proximity to human habitats such as parks and farmlands.|4e05e632ec574e8d9eae94dcc4881438
white-breasted waterhen|often seen foraging in the open|The White-breasted Waterhen is often observed foraging in open areas.|4e05e632ec574e8d9eae94dcc4881438
adult white-breasted waterhen|dark slaty above and white below|Adult White-breasted Waterhens are dark slaty above and white below.|4e05e632ec574e8d9eae94dcc4881438
adult white-breasted waterhen|rusty patch under the tail|Adult White-breasted Waterhens have a rusty patch under their tail.|4e05e632ec574e8d9eae94dcc4881438
juvenile white-breasted waterhen|duller in color|Juvenile White-breasted Waterhens are duller in color compared to adults.|4e05e632ec574e8d9eae94dcc4881438
white-breasted waterhen|remarkably variable song|The White-breasted Waterhen has a remarkably variable song which can be a series of hooting, grunting, or rasping notes or phrases.|4e05e632ec574e8d9eae94dcc4881438
white-breasted waterhen|repeated monotonously|The White-breasted Waterhen's song is often repeated monotonously.|4e05e632ec574e8d9eae94dcc4881438
white-breasted waterhen|from an exposed perch|The White-breasted Waterhen often sings from an exposed perch.|4e05e632ec574e8d9eae94dcc4881438
black-winged stilt|species|The Black-winged Stilt is a species of bird.|1671547847cf42eea2c45be61bfbe047
striking large black-and-white wader|black-winged stilt|The Black-winged Stilt is described as a striking, large black-and-white bird.|1671547847cf42eea2c45be61bfbe047
thin, straight bill|black-winged stilt|The Black-winged Stilt has a thin, straight bill.|1671547847cf42eea2c45be61bfbe047
bright pink legs|black-winged stilt|The Black-winged Stilt has bright pink legs.|1671547847cf42eea2c45be61bfbe047
wetlands with open shallow water|habitat of black-winged stilt|The Black-winged Stilt is found in wetlands with open shallow water.|1671547847cf42eea2c45be61bfbe047
brackish habitats|habitat of black-winged stilt|The Black-winged Stilt often inhabits brackish habitats.|1671547847cf42eea2c45be61bfbe047
northerly breeding grounds|migration pattern of black-winged stilt|Some populations of the Black-winged Stilt depart from their northerly breeding grounds for warmer southern regions.|1671547847cf42eea2c45be61bfbe047
warm southern regions|migration pattern of black-winged stilt|The Black-winged Stilt migrates to warmer southern regions during some periods.|1671547847cf42eea2c45be61bfbe047
bare ground near water|habitat and colony of black-winged stilt|The Black-winged Stilt often forms noisy colonies on bare ground near water.|1671547847cf42eea2c45be61bfbe047
southeast asia|region of comparison for black-winged stilt|In parts of Southeast Asia, the Black-winged Stilt is compared with the Pied Stilt.|1671547847cf42eea2c45be61bfbe047
pied stilt|comparable species to black-winged stilt|In parts of Southeast Asia, the Pied Stilt is a comparable species to the Black-winged Stilt.|1671547847cf42eea2c45be61bfbe047
needle-like bill|black-winged stilt|The Black-winged Stilt feeds by wading in water, picking from the water surface with its needle-like bill.|1671547847cf42eea2c45be61bfbe047
flight|observable activity of black-winged stilt|In flight, the long pink legs of the Black-winged Stilt stick out far beyond the tail.|1671547847cf42eea2c45be61bfbe047
loudly and stridently|calling behavior of black-winged stilt|The Black-winged Stilt calls loudly and stridently, especially when alarmed during the breeding season.|1671547847cf42eea2c45be61bfbe047
breeding season|behavioral context of calling in black-winged stilt|The Black-winged Stilt calls loudly and stridently, especially during the breeding season.|1671547847cf42eea2c45be61bfbe047
red-wattled lapwing|distinctly marked lapwing|The Red-wattled Lapwing is a distinctly marked lapwing.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|black breast and throat|The Red-wattled Lapwing has a black breast and throat.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|red bill with black tip|The Red-wattled Lapwing has a red bill with a black tip.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|red wattles in front of the eyes|The Red-wattled Lapwing sports red wattles in front of its eyes.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|white patch that runs down the cheeks to the underparts|The Red-wattled Lapwing has a white patch that runs down its cheeks and reaches the underparts.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|black flight feathers|When in flight, the Red-wattled Lapwing has black flight feathers.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|white wing patch|The Red-wattled Lapwing has a white wing patch.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|usually found in small groups around water bodies, agricultural fields, and dry land|The Red-wattled Lapwing is usually found in small groups around water bodies, agricultural fields, and dry land.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|primarily on insects|The Red-wattled Lapwing feeds primarily on insects.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|typical plover like manner|The Red-wattled Lapwing catches food in a typical plover-like manner.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|loud alarm call|The Red-wattled Lapwing is known for its loud alarm call.|a6b62c9624294ca996020aa2b47612ae
red-wattled lapwing|often compared to the words ‘did we do it?’|The loud alarm call of the Red-wattled Lapwing is often compared to the words 'Did we do it?'.|a6b62c9624294ca996020aa2b47612ae
white-tailed lapwing|species|The White-tailed Lapwing is a species.|5c27ddff58ee461eb7b0565c17fe94ed
white-tailed lapwing|elegant|The White-tailed Lapwing is described as elegant.|5c27ddff58ee461eb7b0565c17fe94ed
white-tailed lapwing|small|The White-tailed Lapwing is rather small.|5c27ddff58ee461eb7b0565c17fe94ed
white-tailed lapwing|pale sandy-brown|The overall color of the White-tailed Lapwing is pale sandy-brown.|5c27ddff58ee461eb7b0565c17fe94ed
white-tailed lapwing|long legs|The White-tailed Lapwing has long, bright yellow legs.|5c27ddff58ee461eb7b0565c17fe94ed
in flight|striking tri-colored wing pattern|When in flight, a striking tri-colored wing pattern of brown, black, and white is exposed on the White-tailed Lapwing.|5c27ddff58ee461eb7b0565c17fe94ed
white-tailed lapwing|sociable lapwing|The White-tailed Lapwing is somewhat similar to the Sociable Lapwing.|5c27ddff58ee461eb7b0565c17fe94ed
